text,label
"We need a rockstar engineer to dominate the codebase.",masculine   
"The team should crush their goals this quarter.",masculine     
"Looking for someone who can aggressively push the project forward.",masculine     
"This is a high-energy, competitive environment for top performers.",masculine     
"We want a go-getter who can take charge.",masculine     
"We value collaboration and empathy in our team.",not_masculine 
"Please submit your report by Friday.",not_masculine 
"Our team prioritizes clear communication and teamwork.",not_masculine 
"Looking for someone who is motivated and innovative.",not_masculine 
"Ensure everyone feels included and supported in the project.",not_masculine 
"We need someone who dominates meetings and leads aggressively.",masculine     
"The successful candidate will be proactive and confident.",not_masculine 
"Crush your goals and outperform expectations.",masculine     
"Collaborate with peers to achieve project milestones.",not_masculine 
"We are seeking a rockstar to take full control of the workflow.",masculine     
"Encourage team participation and open feedback.",not_masculine 
"Take charge and ensure your tasks are done perfectly.",masculine     
"Focus on supporting your teammates and sharing ideas.",not_masculine 
"Push boundaries and crush the competition.",masculine     
"Maintain a positive and inclusive environment.",not_masculine 
